,品番,倉庫,ロットNo,在庫,注残
0,G-1140B,受注残,,,240.0
1,G-2E-AQ-TKTT,土気倉庫,2102001,400.0,
2,G-GE-650,本社倉庫,BG2106HB,20.0,
3,G-IPSOL-100,受注残,,,175.0
4,G-JR-BDK-TKTT,土気倉庫,180134,20000.0,
5,G-MEHQ-TKTT,土気倉庫,01101,20.0,
6,G-N-695,受注残,,,1600.0
7,G-P-140,受注残,,,1000.0
8,G-TOL,本社倉庫, ,1.0,
9,G-UN-1L-RYL,土気倉庫, ,40.0,
10,S0-GUN-A,土気倉庫,",012107",20.0,
11,S0-GUN-A,土気倉庫,022013,15.0,
12,S0-GUN-A,大阪倉庫,222104,26.0,
13,S0-NAKASEN,土気倉庫, ,2000.0,
14,S1-AS5-CL,本社倉庫,21021803H,10.0,
15,S1-AS5-CL,大阪倉庫,20112631H,3.0,
16,S1-AS5-CL,大阪倉庫,20121131H,20.0,
17,S1-AS5TK-U,本社倉庫,21020805H,3.0,
18,S1-AS5TK-U,本社倉庫,21022501H,30.0,
19,S1-AS5TK-U,受注残,,,10.0
20,S1-AS7TK-U,大阪倉庫,21020831H,6.0,
21,S1-AS87N-U,大阪倉庫,20111831H,2.0,
22,S1-AS87N-U,大阪倉庫,21020931H,30.0,
23,S1-FPA3K2-U,土気倉庫,21011301H,39.0,
24,S1-FPA3K2-U,土気倉庫,21012104H,60.0,
25,S1-FPA3K2-U,受注残,,,2.0
26,S1-K150N-U,土気倉庫,21012101H,21.0,
27,S1-K150N-U,大阪倉庫,20120131H,28.0,
28,S1-K150N-U,大阪倉庫,21020231H,60.0,
29,S1-K164N-U,土気倉庫,21020802H,7.0,
30,S1-K164N-U,大阪倉庫,21020832H,6.0,
31,S1-PC2000-U,土気倉庫,21012154T,5.0,
32,S1-PC2000-U,大阪倉庫,20120281T,2.0,
33,S1-PCS3000-U,大阪倉庫,20101482T,4.0,
34,S1-PP33-U,土気倉庫,21021509H,27.0,
35,S1-PP44-U,土気倉庫,21012604H,10.0,
36,S1-X80N-U,大阪倉庫,21012831H,10.0,
37,S10-E-C,本社倉庫,20101201H,4.0,
38,S10-E-C,本社倉庫,21011807H,13.0,
39,S10-FA341-15,本社倉庫,21020214H,3.0,
40,S10-MEK-TH,土気倉庫,K21B2,12.0,
41,S10-P3,大阪倉庫,20071331H,1.0,
42,S10-P3,受注残,,,1.0
43,S11-PT04S-T,受注残,,,94.0
44,S15-ST32BRW-147,土気倉庫,20121050T,3.0,
45,S15-ST32BRW-49TK,大阪倉庫,21011380T,3.0,
46,S15-ST32G-10DR,大阪倉庫,21020880T,26.0,
47,S15-ST32G-21,大阪倉庫,21011380T,3.0,
48,S15-ST32G-8,大阪倉庫,20120780T,4.0,
49,S15-ST32G-8,大阪倉庫,21021580T,10.0,
50,S15-ST32G-G5,大阪倉庫,21010780T,2.0,
51,S15-ST32G-G5,大阪倉庫,21021180T,10.0,
52,S15-ST32G-T5,土気倉庫,21010750T,14.0,
53,S2-SENRY-14-ORA,大阪倉庫,21011280T,3.0,
54,S2-SENRY-14-YEL,大阪倉庫,21010780T,4.0,
55,S2-SENRY-14-YEL,大阪倉庫,21011380T,10.0,
56,S2-SENRY-3-ORA,大阪倉庫,20111880T,2.0,
57,S2-SENRY-3-YEL,大阪倉庫,21011880T,7.0,
58,S2-ST10-T,本社倉庫,21020801H,3.0,
59,S2-ST32-T,土気倉庫,20100555T53,9.0,
60,S2-ST32-T,大阪倉庫,21012781T51,11.0,
61,S2-UT210A-T,大阪倉庫,20112482T,18.0,
62,S2-UT210N-T,土気倉庫,20111653T52,5.0,
63,S2-UT210N-T,大阪倉庫,20111683T52,5.0,
64,S3-BP50-U,土気倉庫,21012951T,7.0,
65,S3-FG3000-U,土気倉庫,21021651T,35.0,
