URIAGE_SUMI.CSV
"売上ＮＯ","売上行ＮＯ","連番","売上日","取引区分","得意先コード","納入先コード","運送業者","請求予定年月日","出庫元事業所コード","出庫元倉庫","受注ＮＯ","受注行ＮＯ","品番","売上個数","管理単位","振替元品番","振替元数量","得意先注文ＮＯ","備考","ロットＮＯ","納期"
"U012001519","0","0","20201214","01","T0060","","U0007","20201220","@0002","S0021","J011000894","0","S4-K706CLKB-U","3.000000","CN","","0","","12/15納期　本社出荷","20120206H","20201215"
"U012001520","0","0","20201214","01","T0060","","U0007","20201220","@0002","S0021","J011000854","0","S4-PP553KA-U","2.000000","CN","","0","","12/15納期　土気出荷","20111055T52","20201215"
"U012001521","0","0","20201214","01","T0060","","U0007","20201220","@0002","S0021","J011000854","1","S4-PP553KC-U","1.000000","CN","","0","","12/15納期　土気出荷","20112554T","20201215"
"U012001522","0","0","20201214","01","T0060","","U0007","20201220","@0002","S0021","J011000847","0","S6-RTS04-U","60.000000","CN","","0","","12/15納期 土気出荷","20120852T","20201215"
"U012001523","0","0","20201214","01","T0340","","U0009","20201231","@0002","S0021","J012000726","0","S3-BP50-U","1.000000","CN","","0","","12/15納期　土気出荷","20102752T","20201215"
"U012001524","0","0","20201214","01","T0410","","U0001","20201220","@0002","S0021","J012000725","0","S15-ST32G-H26-82","1.000000","CN","","0","","12/15納期　土気出荷","20121050T","20201215"
"U012001525","0","0","20201214","01","T0580","","U0009","20201231","@0002","S0021","J012000729","0","S2-ST32-T","1.000000","CN","","0","","12/15納期　土気出荷","20100555T53","20201215"
"U012001526","0","0","20201214","01","T0580","","U0009","20201231","@0002","S0021","J012000724","0","S3-BP50-U","2.000000","CN","","0","","12/15納期　土気出荷","20102752T","20201215"
"U012001527","0","0","20201214","01","T1032","H014","U0001","20201225","@0002","S0021","J011000720","0","S6-SV3800L-1-U","15.000000","KG","S6-SV3800L-U","1.000000","B7557956","12/17納期 土気出荷 安井様","20082451T","20201217"
"U012001528","0","0","20201214","01","T1032","H014","U0001","20201225","@0002","S0021","J012000723","0","S6-SV3800L-1-U","15.000000","KG","S6-SV3800L-U","1.000000","B7557956","12/17納期土気出荷安井様宛","20082451T","20201217"
"U012001529","0","0","20201214","01","T1037","","U0009","20201225","@0002","S0021","J012000722","0","S6-SV3800L-1-U","15.000000","KG","S6-SV3800L-U","1.000000","K6635627","12/16納期　土気出荷","20082451T","20201216"
"U012001530","0","0","20201214","01","T1039","","U0003","20201225","@0002","S0021","J012000721","0","S6-SV3800LHR-1-U","45.000000","KG","S6-SV3800LHR-U","3.000000","Q8854598","12/15納期土気出荷工場72受入担当：楠様","20112652T","20201215"
"U012001531","0","0","20201214","01","T3350","","U0009","20201231","@0002","S0021","J011000831","0","S5-RT160HNV-1-T","28.000000","KG","S5-RT160HNV-T","2.000000","2011208443","12/15納期　土気出荷　根上様宛","20091851T","20201215"
"U012001532","0","0","20201214","01","T3350","","U0009","20201231","@0002","S0021","J011000832","0","S6-SV3800-1-U","15.000000","KG","S6-SV3800-U","1.000000","2011208444","12/15納期　土気出荷　根上様宛","20111251T","20201215"
"U012001533","0","0","20201214","01","T3350","","U0009","20201231","@0002","S0021","J011000837","0","S6-UV542-1-U","60.000000","KG","S6-UV542-U","4.000000","2011208436","12/15納期　土気出荷　根上様宛","20111951T","20201215"
"U012001534","0","0","20201214","01","T3350","","U0009","20201231","@0002","S0021","J011000829","0","S9-A820-1-TH","45.000000","KG","S9-A820-TH","2.000000","2011208441","12/15納期　土気出荷　根上様宛","20102804H","20201215"
"U012001534","0","1","20201214","01","T3350","","U0009","20201231","@0002","S0021","J011000829","0","S9-A820-1-TH","45.000000","KG","S9-A820-TH","1.000000","2011208441","12/15納期　土気出荷　根上様宛","20112702H","20201215"
"U012001535","0","0","20201214","01","T3550","","U0009","20201231","@0002","S0021","J012000649","0","S4-BS421A-U","3.000000","CN","","0","","12/15納期 土気出荷","20111053T","20201215"
"U012001536","0","0","20201214","01","T3550","","U0009","20201231","@0002","S0021","J012000649","1","S4-BS421B-U","3.000000","CN","","0","","12/15納期 土気出荷","20110502H","20201215"
