URIAGE_MAE.CSV
"売上ＮＯ","売上行ＮＯ","連番","売上日","取引区分","得意先コード","納入先コード","運送業者","自由使用区分１","請求予定年月日","出庫元事業所コード","出庫元倉庫","受注ＮＯ","受注行ＮＯ","品番","管理個数","管理単位","振替元品番","振替元数量","得意先注文ＮＯ","備考","ロットＮＯ","納期"
"U102001593","0","0","20210216","01","T0070","","U0001","1","20210220","@0002","S0021","J102000729","0","S2-UT210N-T","3.000000","CN","","0","NO.3","","20041453T52","20210217"
"U102001594","0","0","20210216","01","T0361","","U0009","1","20210228","@0002","S0021","J102000728","1","S6-UV542-U","2.000000","CN","","0","","","21011452T","20210217"
"U102001595","0","0","20210216","01","T0361","","U0009","1","20210228","@0002","S0021","J102000728","0","S6-UVXK02-U","1.000000","CN","","0","","","20121603H","20210217"
"U102001596","0","0","20210216","01","T1039","","U0003","1","20210225","@0002","S0021","J102000726","0","S6-SV3800LHR-1-U","105.000000","KG","S6-SV3800LHR-U","7.000000","Q9006523","工場72受入担当：楠様","21010751T","20210217"
"U102001597","0","0","20210216","01","T1210","THK08","U0001","1","20210228","@0002","S0021","J101000822","0","S3-N404K2-U-R-EX","5.000000","CN","","0","TTL1180","2/17納期","21012707H","20210217"
"U102001598","0","0","20210216","01","T2880","H172","U0003","1","20210228","@0002","S0021","J101000805","2","S6-UV2300L-U","10.000000","CN","","0","","2/17納期","21012552T","20210217"
"U102001599","0","0","20210216","01","T2880","H172","U0003","1","20210228","@0002","S0021","J101000806","2","S6-UV382V-T","10.000000","CN","","0","","2/17納期","21012051T","20210217"
"U102001600","0","0","20210216","01","T3050","","U0009","1","20210220","@0002","S0021","J101000827","1","S3-FG3000-U","10.000000","CN","","0","","2/18納期","20120753T","20210218"
"U102001601","0","0","20210216","01","T3050","","U0009","1","20210220","@0002","S0021","J101000828","1","S5-RT45-T","10.000000","CN","","0","","2/18納期","20120153T","20210218"
"U102001606","0","0","20210216","01","T0410","","U0001","1","20210220","@0002","S0021","J102000730","0","S1-PP33-U","2.000000","CN","","0","","","21010701H","20210217"
"U102001607","0","0","20210216","01","T0410","","U0001","1","20210220","@0002","S0021","J102000730","1","S2-ST32-T","4.000000","CN","","0","","","20100555T53","20210217"
"U102001608","0","0","20210216","01","T0410","","U0001","1","20210220","@0002","S0021","J102000730","2","S1-K150N-U","2.000000","CN","","0","","","21012101H","20210217"
