HINBAN.CSV
"ïiî‘","çHíˆÉRÅ[Éh","êªïiãÊï™","èîå˚ãÊï™","éÂä«éñã∆èä","ï€ä«èÍèä","HinTanaNo","ïiñºó™èÃ","ïiñº","ïiñºÅi∂≈Åj","ïiñ⁄ÇP","ïiñ⁄ÇQ","è¡îÔê≈ïiñ⁄","åüç∏ïiñ⁄","íPà ÉRÅ[Éh","ì¸ÇËêî","ç´ïÔâ◊épÅiäOëïÅj","ç´ïÔâ◊épÅiì‡ëïÅj","ç´ïÔíPà ÅiäOëïÅj","ç´ïÔíPà Åiì‡ëïÅj","ê∂éYåvâÊóvî€ãÊï™","ç›å…åvè„ãÊï™","î≠íçì_ä«óùãÊï™","ÉLÉbÉgèoå…ãÊï™","î≠íçì_ç›å…êî","äÓèÄÅiïWèÄÅjç›å…êî","ÉXÉNÉâÉbÉvïiî‘","ÉXÉNÉâÉbÉvçHíˆÉRÅ[Éh","ÇjÇdÇxÅ|ÇmÇn","ç≈êVì¸å…ì˙","ç≈êVèoå…ì˙","îÃîÑó›åvêî","îıçl","ìoò^îNåéì˙","å¥âøåvéZÉtÉâÉO","çﬁéø","çﬁå˙","ïù","í∑Ç≥","óeêœ","î‰èd","íPèd","é©óRì¸óÕóìÇP","é©óRì¸óÕóìÇQ","é©óRì¸óÕóìÇR","é©óRì¸óÕóìÇS","é©óRì¸óÕóìÇT","é©óRì¸óÕóìÇU","é©óRì¸óÕóìÇV","é©óRì¸óÕóìÇW","é©óRì¸óÕóìÇX","é©óRì¸óÕóìÇPÇO","é©óRì¸óÕóìÇPÇP","é©óRì¸óÕóìÇPÇQ","é©óRì¸óÕóìÇPÇR","é©óRì¸óÕóìÇPÇS","é©óRì¸óÕóìÇPÇT","é©óRì¸óÕóìÇPÇU","é©óRì¸óÕóìÇPÇV","é©óRì¸óÕóìÇPÇW","é©óRì¸óÕóìÇPÇX","é©óRì¸óÕóìÇQÇO","íPèdåvéZï˚ñ@ãÊï™","ÉJÉâÅ[","èWñÒïiî‘","èWñÒçHíˆÉRÅ[Éh","¿ﬁ–∞ãÊï™","óLå¯ä˙å¿êîãÊï™","óLå¯ä˙å¿êî","í[êîèàóùãÊï™","è¨êîãÊï™","íIâµèâä˙íl","HinSeibanKBN","HinStateKBN","HinStateDay"
"0ST32BUB-1-S","","5","","","","","ST-32ÃﬁŸ∞Ãﬁ◊Ø∏1","ST-32ÃﬁŸ∞Ãﬁ◊Ø∏1","","","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","42663","","","0.000000","","20180709","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"3300G-Y35-S","","5","","","","","3300Mã‡êFY-35","3300Mã‡êFY-35","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41094","","","0.000000","","20090602","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"3300G-Y36-S","","5","","","","","3300Mã‡êFY-36","3300Mã‡êFY-36","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41095","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"3300M-BRW-128-S","","5","","","","","3300MÃﬁ◊≥›128","3300MÃﬁ◊≥›128","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41096","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"3300MG-Y36-S","","5","","","","","","3300Mã‡êFY-36","3300Mã‡êF Y-36","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41684","","","0.000000","","20070131","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","","","","","",""
"5500G-2-S","","5","","","","","5500ã‡êF2çÜ","5500ã‡êF2çÜ","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41097","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"999998","","7","1","","","","ÉTÉìÉvÉã","ÉTÉìÉvÉã","","10","","","","","1.000000","","","0.000000","0.000000","","1","","","0.000000","0.000000","","","00689","","","0.000000","","20061207","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"999999","","7","1","","","","éGïi","éGïi","","","","","","","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","00688","","","0.000000","","20061207","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"EDG-1-S","","5","","","","","¥Œﬂ›Dã‡êF1çÜ","¥Œﬂ›Dã‡êF1çÜ","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41098","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
"EDG-2-S","","5","","","","","¥Œﬂ›Dã‡êF2çÜ","¥Œﬂ›Dã‡êF2çÜ","","CF","","","","KG","1.000000","","","0.000000","0.000000","","","","","0.000000","0.000000","","","41099","","","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","1","","","","","","","","","","","","0","","","","","","0","","","","","",""
