相手先コード１,相手先コード２,相手先区分,所要日数,相手先略称,相手先名称１,相手先名称２,相手先名称３,郵便番号１,郵便番号２,住所１,住所２,住所３,電話番号,ＦＡＸ番号
T0070,H074,5,1,伊藤真空　本社,伊藤真空株式会社　本社,,,457,843,名古屋市南区忠次１丁目８－２２,,,052-691-7265,
T3160,H157,5,1,トリックス,トリックスプロシード株式会社,,,461,40,名古屋市東区矢田３－２－５５,,,052-725-9230,
T0070,H087,5,1,澤政,澤政興業株式会社,,,460,24,名古屋市中区正木２－１３－８,,,052-331-6510,
T0070,H121,5,1,名和,有限会社　名和スクリーン,,,463,37,名古屋市守山区天子田２－２２０,,,052-771-7735,
T3360,,4,1,二葉,二葉産業株式会社,,,463,808,名古屋市守山区花咲台２－５０１,,,052-739-0661,052-739-0666
T3160,H137,5,1,白金鍍金,白金鍍金工業株式会社,,,463,808,名古屋市守山区花咲台２－１００１,,,052-739-0739,
T3360,H106,5,1,白金鍍金,白金鍍金工業株式会社,,,463,808,名古屋市守山区花咲台２－１００１,,,052-739-0739,052-739-0639
T2880,GZS04,5,1,名古屋築港 9号地,㈱築港　9号地倉庫,,,455,28,名古屋市港区潮見町10-3,,,052-614-4600,
T2880,JUS02,5,1,築港9号地,㈱築港9号地倉庫,,,455,28,名古屋市港区潮見町10-3,,,052-614-4600,
T0800,H116,5,3,東洋鍍金　第２工場,東洋鍍金株式会社　第２工場,,,63,836,北海道札幌市西区発寒16条14丁目-6-60,,,011-661-8131,
T0800,,4,3,東洋鍍金,東洋鍍金株式会社,,,63,834,北海道札幌市西区発寒１４条,１１丁目１－４３,,011-665-4433,011-665-4715
T3120,,4,3,上原ネームプレート,上原ネームプレート工業株式会社,,,78,8271,北海道旭川市工業団地１条２丁目３番地３３,,,0166-36-1777,0166-39-7020
T2860,,4,1,関東光器,関東光器株式会社,,,254,16,平塚市東八幡５－１０－１６,東八幡工業団地内,,046-322-7787,046-322-7995
T2900,H083,5,1,パナソニックライティ,パナソニックライティングシステムズ(株),春日工場,,669,4141,兵庫県丹波市春日町黒井９０８,,,0795-74-1211,0795-74-1363
T1037,H173,5,1,ﾑﾈｶﾀ㈱福島,ムネカタ株式会社　福島ファクトリー,,,960,8506,福島県福島市蓬菜町１－１１－１,,,024-547-2635,024-547-2555
T1031,H054,5,1,箭内硝子,箭内硝子株式会社　郡山工場,,,963,551,福島県郡山市喜久田町,字菖蒲池２２－１７３,,024-959-2710,
T2880,H172,5,1,ﾌｧﾙﾃｯｸ　北関東,株式会社　ファルテック　北関東工場,福島地区,,970,1375,福島県いわき市三和町中三坂字湯の向１０５,,,0246-85-2111,0246-85-2114
T3210,H061,5,2,ランズバーグ,ランズバーグ・インダストリー株式会社,,,816,92,福岡県福岡市博多区東那珂３－５－２７,,,092-472-1335,
T1032,H039,5,2,大宝九州,大宝九州㈱　　大牟田工場,,,836,835,福岡県大牟田市西宮浦町132-3,,,0944-43-6266,0944-43-6255
T0060,H079,5,2,ニシイ,株式会社　ニシイ,久留米支店,,830,48,福岡県久留米市梅満町１７１３－７,,,0942-65-9241,0942-65-9251
T2960,H166,5,1,ﾌｨｱﾛｺｰﾎﾟ 栃木工場,株式会社　ﾌｨｱﾛｺｰﾎﾟﾚｰｼｮﾝ　栃木工場,,,321,3325,栃木県芳賀郡芳賀町芳賀台１１３,,,028-677-2611,028-677-2791
T0020,H187,5,2,シーズ,株式会社　シーズ,,,321,202,栃木県下都賀郡壬生町,おもちゃの町４－２－２０,,0282-86-2827,
T0610,,4,2,吉田塗装,株式会社　吉田塗装所,,,321,202,栃木県下都賀郡壬生町,おもちゃの町４－７－１９,,0282-86-0279,0282-86-0239
T0070,H151,5,2,川口スプリング,株式会社　川口スプリング製作所,,,329,2213,栃木県塩谷郡塩谷町大字熊ノ木１３５６,,,0287-45-1231,
T2880,H169,5,2,川口ｽﾌﾟﾘﾝｸﾞ,株式会社　川口スプリング製作所,,,329,2213,栃木県塩谷郡塩谷町大字熊ノ木１３５６,,,0287-45-1231,
T0050,KEL01,5,1,伊坂藤枝,伊坂化成㈱　藤枝支店,,,426,3,藤枝市下当間２０２－５,,,054-643-6400,
T1035,,4,1,スタンレー本社,スタンレー電気株式会社　本社,,,153,8636,東京都目黒区中目黒２－９－１３,,,03-3710-2222,03-3710-2351
T0015,H043,5,1,影山,株式会社　影山鍍金工業所,,,131,43,東京都墨田区立花１－１１－７,,,03-3619-3636,
T0015,H111,5,1,松沢,松沢鍍金工業,,,131,31,東京都墨田区墨田４－４３－１２,,,03-3614-2387,
T0493,,4,1,上原電装,有限会社　上原電装,,,131,42,東京都墨田区東墨田２－２１－５,,,03-3618-3311,03-3618-3311
T3340,,4,1,フォルム,株式会社　フォルム,,,183,35,東京都府中市四谷４－５９－１７,,,042-361-6066,042-361-5990
T3340,H082,5,1,フォルム　別館,株式会社　フォルム別館,処理課　諸星様,,183,35,東京都府中市四谷４－５６－１２,,,042-361-6073,
