"èdó ","200Km"
"2000","42,400 "
"1900","40,100 "
"1800","37,800 "
"1700","35,500 "
"1600","33,200 "
"1500","30,900 "
"1400","28,600 "
"1300","26,300 "
"1200","23,900 "
"1100","21,600 "
"1000","19,300 "
"950","18,400 "
"900","17,500 "
"850","16,500 "
"800","15,600 "
"750","14,700 "
"700","15,100 "
"650","12,900 "
"600","13,100 "
"550","11,000 "
"500","9,600 "
"450","8,800 "
"400","7,900 "
"350","6,900 "
"300","6,100 "
"250","5,200 "
"200","4,400 "
"180","4,200 "
"160","3,900 "
"140","3,500 "
"120","3,100 "
"100","2,800 "
"80","2,400 "
"60","2,100 "
"40","1,900 "
"30","1,700 "
"20","1,500 "
"10","900"
