0,1100,1000,950,900,600
2000,62220,57900,55700,53590,40570
1900,59140,55000,52980,50950,38630
1800,56060,52180,50250,48310,36610
1700,53060,49370,47520,45670,34670
1600,49980,46550,44790,43120,32740
1500,46900,43650,42060,40480,30800
1400,43820,40830,39340,37840,28860
1300,40830,38020,36610,35290,26840
1200,37750,35200,33880,32650,24900
1100,34670,32380,31150,30010,22970
1000,31680,29480,28420,27370,21030
950,30100,28070,27020,26050,19980
900,28510,26580,25610,24640,18920
850,26930,25080,24200,23320,17860
800,25340,23670,22790,21910,16900
750,23760,22180,21380,20590,15840
700,22180,20680,19980,19270,14780
650,20590,19270,18570,17860,13730
600,19010,17780,17160,16460,12760
550,17420,16280,15750,15140,11700
500,15840,14780,14340,13820,10650
450,14260,13380,12940,12410,9680
400,12670,11880,11440,11090,8620
350,11090,10380,10030,9680,7570
300,9500,8980,8620,8360,6510
250,8010,7480,7220,6950,5540
200,6600,6160,5980,5810,4580
180,6250,5810,5630,5460,4400
160,5630,5280,5100,4930,3960
140,4930,4660,4580,4400,3520
120,4310,4050,3960,3780,3080
100,3700,3520,3430,3340,2730
80,3080,2900,2820,2730,2290
60,2380,2200,2200,2110,1850
40,1940,1850,1850,1850,1580
30,1500,1500,1500,1410,1320
20,1320,1320,1320,1230,1140
10,970,970,970,970,970
