"èdó ","200Km"
"2300","31700"
"2200","30,500 "
"2100","29,200 "
"2000","27,900 "
"1900","26,700 "
"1800","25,400 "
"1700","24,100 "
"1600","22,900 "
"1500","21,600 "
"1400","20,300 "
"1300","19,100 "
"1200","17,800 "
"1100","16,500 "
"1000","15,300 "
"950","14,500 "
"900","13,800 "
"850","13,100 "
"800","12,300 "
"750","11,600 "
"700","10,900 "
"650","10,200 "
"600","9,400 "
"550","8,700 "
"500","7,900 "
"450","7,300 "
"400","6,600 "
"350","5,700 "
"300","5,000 "
"250","4,300 "
"200","3,700 "
"180","3,500 "
"160","3,200 "
"140","2,900 "
"120","2,600 "
"100","2,300 "
"80","2,000 "
"60","1,700 "
"40","1,600 "
"30","1,400 "
"20","1,200 "
"10","1,100 "
