0,2000,1900,1800,1700,1600,1500,1400,1300,1200,1100,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50
2000,145020,138810,132600,126390,120180,113970,107760,101550,95450,89240,83030,79930,76820,73720,70610,67510,64400,61300,58190,55090,51980,48880,45770,42670,39560,36460,32200,27950,23460,20240
1900,137770,131910,126040,120180,114200,108330,102470,96600,90740,84870,79010,76020,73140,70150,67160,64170,61300,58310,55430,52440,49450,46580,43590,40600,37720,34730,30710,26800,22540,19440
1800,130530,125010,119370,113850,108330,102700,97180,91540,86020,80500,74870,72110,69350,66590,63710,60950,58190,55430,52560,49800,47040,44280,41400,38640,35880,33120,29330,25530,21510,18750
1700,123400,118110,112820,107640,102350,97060,91890,86600,81310,76020,70840,68200,65550,62910,60260,57620,55090,52440,49800,47150,44510,41860,39220,36570,34040,31400,27830,24380,20590,17940
1600,116150,111210,106260,101320,96370,91430,86480,81540,76590,71650,66700,64290,61870,59340,56930,54400,51870,49450,46920,44510,41980,39560,37030,34620,32200,29670,26340,23120,19670,17250
1500,108910,104310,99710,95110,90390,85790,81190,76590,71990,67280,62680,60380,58080,55780,53480,51060,48760,46460,44160,41860,39560,37260,34850,32550,30250,27950,24960,21970,18750,16450
1400,101780,97410,93150,88780,84530,80160,75900,71530,67280,62910,58650,56470,54280,52210,50030,47840,45660,43470,41400,39220,37030,34850,32660,30590,28410,26220,23460,20700,17830,15760
1300,94530,90510,86480,82570,78550,74520,70500,66590,62560,58540,54510,52560,50600,48530,46580,44510,42550,40600,38530,36570,34500,32550,30480,28520,26570,24500,21970,19550,16910,14950
1200,87290,83610,79930,76250,72570,68890,65210,61530,57850,54170,50490,48650,46810,44970,43130,41290,39450,37610,35770,33930,32090,30250,28410,26570,24730,22890,20590,18290,15870,14260
1100,80160,76710,73370,70040,66700,63250,59920,56580,53130,49800,46460,44740,43130,41400,39680,37950,36340,34620,32890,31280,29560,27950,26220,24500,22890,21160,19090,17140,14950,13460
1000,72910,69810,66820,63710,60720,57620,54630,51520,48420,45430,42320,40830,39330,37840,36230,34730,33240,31630,30130,28640,27030,25530,24040,22540,20930,19440,17600,15870,14030,12770
950,69230,66360,63480,60610,57620,54740,51870,48990,46120,43130,40250,38760,37380,35880,34500,33010,31510,30130,28640,27140,25760,24270,22890,21390,19900,18520,16790,15180,13340,12190
900,65550,62910,60150,57390,54630,51870,49110,46350,43590,40940,38180,36800,35420,34040,32660,31280,29900,28520,27140,25760,24380,23000,21620,20360,18980,17600,15990,14380,12650,11500
850,61870,59340,56700,54170,51520,48990,46350,43820,41170,38640,36000,34730,33470,32200,30820,29560,28290,26910,25650,24380,23120,21740,20470,19210,17940,16680,15070,13570,12080,10930
800,58190,55780,53360,50950,48530,46120,43700,41290,38760,36340,33930,32660,31510,30250,29100,27830,26570,25420,24150,23000,21740,20590,19320,18060,16910,15640,14260,12880,11390,10350
750,54510,52210,50030,47730,45430,43130,40940,38640,36340,34040,31860,30710,29560,28410,27260,26110,24960,23810,22770,21620,20470,19320,18170,17020,15870,14720,13460,12080,10700,9780
700,50830,48760,46580,44510,42440,40250,38180,36000,33930,31860,29670,28640,27600,26570,25420,24380,23350,22310,21280,20240,19090,18060,17020,15990,14840,13800,12540,11390,10120,9200
650,47150,45200,43240,41290,39330,37380,35420,33470,31510,29560,27600,26570,25650,24610,23690,22660,21740,20700,19780,18750,17830,16790,15870,14840,13920,12880,11730,10580,9430,8630
600,43470,41750,39910,38070,36340,34500,32660,30940,29100,27260,25420,24610,23690,22770,21850,21050,20130,19210,18290,17370,16450,15530,14720,13800,12880,11960,10810,9890,8860,8050
550,39790,38180,36570,34960,33240,31630,30020,28290,26680,25070,23350,22540,21740,20930,20130,19320,18400,17600,16790,15990,15180,14380,13460,12650,11850,11040,10120,9090,8170,7480
500,36110,34620,33120,31630,30250,28750,27260,25760,24270,22770,21280,20590,19780,18980,18290,17480,16790,16100,15300,14610,13800,13110,12310,11500,10810,10120,9090,8280,7480,6790
450,32550,31170,29790,28520,27140,25880,24500,23120,21850,20470,19210,18520,17830,17140,16450,15870,15180,14490,13800,13110,12540,11850,11160,10470,9890,9200,8400,7590,6790,6210
400,28750,27600,26450,25300,24040,22890,21740,20590,19440,18170,17020,16450,15870,15300,14720,14150,13570,13000,12310,11730,11160,10580,10010,9430,8860,8280,7590,6900,6100,5640
350,25070,24040,23000,22080,21050,20010,18980,17940,16910,15990,14950,14380,13920,13340,12880,12420,11850,11390,10810,10350,9780,9320,8860,8280,7820,7250,6560,6100,5410,5060
300,21390,20590,19670,18860,17940,17140,16220,15410,14490,13690,12770,12420,11960,11500,11160,10700,10240,9780,9320,8970,8510,8050,7710,7250,6790,6330,5870,5290,4830,4490
250,17830,17020,16330,15640,14950,14260,13570,12880,12190,11390,10700,10350,10010,9660,9320,8970,8630,8280,7940,7590,7250,6790,6440,6100,5750,5410,5060,4600,4140,3910
200,14490,13920,13340,12770,12190,11620,11160,10580,10010,9430,8860,8510,8280,7940,7710,7480,7130,6900,6560,6330,5980,5750,5520,5060,4950,4600,4260,3910,3570,3340
180,13690,13230,12650,12080,11620,11040,10580,10010,9430,8970,8400,8170,7820,7590,7360,7020,6790,6560,6330,5980,5750,5410,5180,4950,4720,4370,4030,3800,3450,3220
160,12190,11730,11270,10810,10350,9890,9430,8970,8510,8050,7590,7360,7130,6900,6560,6330,6100,5870,5640,5410,5180,4950,4720,4490,4260,4030,3800,3450,3110,2990
140,10810,10350,10010,9550,9200,8740,8280,7940,7480,7130,6670,6440,6330,6100,5870,5640,5520,5290,5060,4830,4720,4490,4260,4030,3910,3680,3450,3110,2880,2760
120,9200,8860,8510,8170,7820,7480,7130,6790,6440,6210,5870,5640,5410,5290,5180,4950,4830,4600,4490,4260,4030,3910,3800,3570,3450,3220,2990,2880,2650,2530
100,7820,7590,7250,7020,6670,6440,6100,5870,5640,5290,5060,4830,4720,4600,4490,4260,4140,4030,3910,3800,3570,3450,3340,3220,2990,2880,2650,2530,2300,2300
