事業所コード,相手先コード１,相手先名称１,郵便番号１,郵便番号２,住所１,ﾄｰﾙ距離,ﾄｰﾙ中継回数,ﾄｰﾙ行く行かない,新潟距離,新潟中継回数,新潟行く行かない,ｹｲﾋﾝ,顧客指定運送屋,輸出向先,得意先コード,納入先コード,西濃距離
1,T0011,東新油脂株式会社,123,0851,東京都足立区梅田５－１４－１１,50,0,,52,0,,-,無し,,T0011,,100
2,T0015,株式会社富士商事,271,0068,千葉県松戸市古ヶ崎４－３５６７,50,0,,84,0,,-,無し,,T0015,,100
3,T0015,有限会社　飯田塗料,135,0002,東京都江東区住吉1-14-6,50,0,,52,0,,-,無し,,T0015,H042,100
4,T0015,株式会社　影山鍍金工業所,131,0043,東京都墨田区立花１－１１－７,50,0,,52,0,,-,無し,,T0015,H043,100
5,T0015,白電工熱株式会社,341,0037,埼玉県三郷市高洲２－８－２,50,0,,84,0,,-,無し,,T0015,H094,100
6,T0015,松沢鍍金工業,131,0031,東京都墨田区墨田４－４３－１２,50,0,,52,0,,-,無し,,T0015,H111,100
7,T0015,有限会社　渡辺塗装,133,0043,東京都江戸川区松本２－３７－２１,50,0,,52,0,,-,無し,,T0015,H129,100
8,T0020,旭真空株式会社,311,1537,茨城県鉾田市紅葉６９３,100,0,,112,1,,-,新潟,,T0020,,200
9,T0020,ノグチ真空株式会社,311,2215,茨城県鹿嶋市和３６８,100,0,,72,0,,-,ﾄｰﾙ,,T0020,H093,200
10,T0020,株式会社　大友製作所　高萩工場,318,0023,茨城県高萩市島名１６４５,200,1,,228,1,,-,無し,,T0020,H165,200
11,T0020,川口真空株式会社,300,2724,茨城県常総市古間木１７５３－５,50,0,,126,0,,-,新潟,,T0020,H181,150
12,T0020,株式会社　シーズ,321,0202,栃木県下都賀郡壬生町,200,1,,208,1,,-,無し,,T0020,H187,150
13,T0050,伊坂化成株式会社　本社,420,0068,静岡県静岡市葵区田町３－９２－３,250,0,,248,0,,-,無し,,T0050,,250
14,T0050,伊坂化成株式会社　藤枝,426,0003,静岡県藤枝市下当間２０２－５,300,0,,270,0,,藤枝,無し,,T0050,H071,300
15,T0050,旭真空株式会社,311,1537,茨城県鉾田市紅葉６９３,100,0,,112,1,,-,新潟,,T0050,H131,200
16,T0050,伊坂化成㈱　藤枝支店,426,0003,静岡県藤枝市下当間２０２－５,300,0,,270,0,,藤枝,無し,y,T0050,KEL01,300
17,T0050,鈴与メタノールセンター,424,0031,静岡県静岡市清水区横砂字若松2252-13,250,0,,248,0,,静岡,無し,y,T0050,KEL02,250
18,T0050,日本通運航空,422,8036,静岡県静岡市駿河区敷地2丁目7番20号,250,0,,248,0,,静岡,無し,y,T0050,KEL03,250
19,T0050,日本通運㈱静岡航空支店,420,0922,静岡県静岡市葵区流通センター8番7号,250,0,,248,0,,静岡,無し,y,T0050,KEL04,250
