出荷実績照会.CSV
"運送会社","売上日","納入先名称１","納入先名称２","品名","ロットＮＯ","売上数量","売上単位","得意先注文ＮＯ"
"","20201002","伊坂化成株式会社　藤枝","","KNB-01改2 (15KG)","","1.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","Ｎ－４０４（改２）アンダー (15KG)","20092305H","50.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","Ｋ－７０６ＣＬ(改) Ｃ液 (4KG)","20092807H","8.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","ＲＴＳ－０４アンダー (15KG)","20092451T","50.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","ＵＶ－３０５アンダー (15KG)","20091852T","50.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","ＵＶ－９０６アンダー (15KG)","20092553T","50.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","Ｂタイプ反射板用塗料 (4KG)","20092408H","4.000000","CN",""
"","20201002","伊坂化成株式会社　藤枝","","ＢタイプＰＰ反射板用塗料 (15KG)","20092407H","10.000000","CN",""
"","20201002","株式会社　光輝社　焼津製作所","","ＫＶ－３８アンダー (15KG)","20083151T","10.000000","CN",""
"","20201002","ヘイワテクノ株式会社","","ＰＰ－３３ＮＰアンダー　(15KG)","20082401H","3.000000","CN",""
"","20201002","ヘイワテクノ株式会社","","ＳＴ－３２トップ (15KG)","20082051T","1.000000","CN",""
"","20201002","ヘイワテクノ株式会社","","ＢＳ－４２１ Ａ液 (15KG)","20090253T","1.000000","CN",""
"","20201002","ヘイワテクノ株式会社","","ＢＳ－４２１ Ｂ液 (15KG)","20071301H","1.000000","CN",""
"","20201002","スタンレー電気株式会社　秦野製作所","","ＳＶ－３８００アンダー　（1KG）","20091751T","195.000000","KG","J2770147"
"","20201002","スタンレー電気株式会社　秦野製作所","","ＳＴＭ-３０-Ｔ２Ｌ塗料 (15KG)","20072903H","1.000000","CN",""
"","20201002","スタンレー電気株式会社　浜松工場","","ＳＶ－３８００ＬＨＲアンダー(1KG)","20091653T","45.000000","KG","Q8661986"
"","20201002","株式会社　東海化成工業所","","ＭＢ－２０Ｋ２ (15KG)","20090452T","3.000000","CN",""
"","20201002","株式会社　木島工作所","","ＴＤＭ－１ (15KG)","20072205H","1.000000","CN",""
"","20201002","旭真空株式会社","","ＦＡ－３４１艶消剤　（１５ＫＧ）","20100103H","1.000000","CN",""
"","20201002","川口真空株式会社","","ＵＶ－２７０Ｍ アンダー（15KG）","20081852T","5.000000","CN",""
"","20201002","株式会社　明和真空","","Ｋ－１５０ＮＰアンダー (18㍑）","20091031H","4.000000","CN",""
"","20201002","株式会社　シーケン","","ＡＳ－５ＮＰクリヤー (15KG)","20070931H","1.000000","CN","10/5着分"
"","20201002","株式会社　シーケン","","ガンクリーナーＡ (16㍑）","292009","10.000000","CN","10/5着分"
"","20201002","株式会社　シーケン","","ガンクリーナーＥＸ　ＮO２","192008","8.000000","CN","10/5着分"
"","20201002","ミラクル","","ＵＴ－２１０Ｎトップ (15KG)","20041482T53","1.000000","CN","10/5着分"
"","20201002","ミラクル","","ＵＴ－２１０Ｎトップ (15KG)","20090383T51","2.000000","CN","10/5着分"
"","20201002","ミラクル","","ガンクリーナーＡ (16㍑）","292009","2.000000","CN","10/5着分"
"","20201002","大阪真空化学株式会社","","ＵＶ－７００アンダー (14KG)","20090382T","8.000000","CN","10/5着分"
"","20201002","株式会社　今仙電機製作所(春里工場)","","ＴＭ－３００ (1KG)","20020431H","15.000000","KG","10/5着分（春里）"
"","20201002","株式会社　今仙電機製作所(春里工場)","","ＵＶ－２２１アンダー (1KG)","20091781T51","60.000000","KG","10/5着分（春里）"
"","20201002","株式会社　今仙電機製作所(春里工場)","","ＲＴ－４５トップ (1KG)","20082653T","42.000000","KG","10/5着分（春里）"
"","20201002","大阪真空化学株式会社","","ＵＶＴ－０６艶消－３－ (15KG)","20092581T","10.000000","CN","10/5着分"
"","20201002","大阪真空化学株式会社","","Ｕ－３３０ シンナー (14KG)","20080505H","3.000000","CN","10/5着分"
"","20201002","大阪真空化学株式会社","","Ｈ－ブラック‐８０５ (3KG)","20093031H","1.000000","CN","10/5着分"
